approval_rate,default_rate,expected_profit,npv,cumulative_reward,capital_usage_mean,reward_volatility,stability_index,threshold_volatility,controller,controller_type,scenario_name,seed,run_id,experiment_group,ablation_name
0.5763888888888888,0.0572289156626506,419596.54032975726,411328.31183829147,514146.0330612147,0.5623228579163475,33349.087530714845,2.9984928797533665e-05,0.0,ppo__no_split_policies,agent_ablation,split_policy_dynamics,74501,1,ablation,no_split_policies
0.5921470721743077,0.055193560751245686,425487.3312830186,417808.6681580831,520886.7326932248,0.5619724369835771,33754.882007698056,2.9624466626940727e-05,0.0,ppo__no_split_policies,agent_ablation,split_policy_dynamics,74502,2,ablation,no_split_policies
0.5925342927816506,0.06261859582542695,376135.35699061933,369103.24590646394,459137.87939710333,0.5685781563763529,28437.09339485613,3.5164101408460795e-05,0.0,ppo__no_split_policies,agent_ablation,split_policy_dynamics,74503,3,ablation,no_split_policies
0.5850613154960981,0.06059451219512195,396423.2152852006,388781.56265468517,485037.6226865108,0.5638260446512657,33007.54558368697,3.0295185150302598e-05,0.0,ppo__no_risk_aware_shaping,agent_ablation,base_market,22000,0,ablation,no_risk_aware_shaping
0.5931304748732135,0.05596579867858531,379870.1398019379,372396.5429422572,463940.98371618264,0.553949732314075,27664.074456833776,3.614665854452388e-05,0.0,ppo__no_risk_aware_shaping,agent_ablation,base_market,22001,1,ablation,no_risk_aware_shaping
0.5845604640785363,0.06030534351145038,400829.82757460175,393082.4801288729,489789.4535901848,0.5544772459697676,34622.35113021848,2.8882241821105023e-05,0.0,ppo__no_risk_aware_shaping,agent_ablation,base_market,22002,2,ablation,no_risk_aware_shaping
0.5834616230481636,0.05013192612137203,417020.520169156,408955.97844403266,510571.45298726775,0.55829663058884,32586.523874548242,3.0686590483207215e-05,0.0,ppo__no_risk_aware_shaping,agent_ablation,base_market,22003,3,ablation,no_risk_aware_shaping
0.5768747381650607,0.06499636891793754,385572.01712995744,377702.69446605066,471566.1597682537,0.5806441271898012,31661.61240204601,3.158299092008532e-05,0.0,ppo__no_risk_aware_shaping,agent_ablation,drift,22100,0,ablation,no_risk_aware_shaping
0.5557498906864888,0.06254917387883556,375137.0282760733,367320.4322169203,458100.4335153677,0.5558414512109076,30264.21080360707,3.3041236900316513e-05,0.0,ppo__no_risk_aware_shaping,agent_ablation,drift,22101,1,ablation,no_risk_aware_shaping
0.5599821945248163,0.06359300476947535,338939.95113230136,332264.94582303724,414755.25344949943,0.5308544097529229,31807.80739805807,3.143783378879681e-05,0.0,ppo__no_risk_aware_shaping,agent_ablation,drift,22102,2,ablation,no_risk_aware_shaping
0.5628140703517588,0.0593944099378882,351202.53397967387,344493.53392304364,429837.21338859905,0.5536737501237166,28960.593921187716,3.452848633681105e-05,0.0,ppo__no_risk_aware_shaping,agent_ablation,drift,22103,3,ablation,no_risk_aware_shaping
0.545985401459854,0.07397504456327986,291567.4997107063,286049.48456564604,356102.54341061955,0.5700607549509605,26336.329679317554,3.796892138177889e-05,0.0,ppo__no_risk_aware_shaping,agent_ablation,adverse_stress,22200,0,ablation,no_risk_aware_shaping
0.5649518440216115,0.06985446985446986,359768.0964392688,352463.49627859273,440385.0644248055,0.5883235768500799,21250.74792727001,4.705495300538601e-05,0.0,ppo__no_risk_aware_shaping,agent_ablation,adverse_stress,22201,1,ablation,no_risk_aware_shaping
0.5725301204819278,0.06860269360269361,345470.9531092824,338614.76780900214,422200.90633090073,0.5907000210070706,23688.071741448923,4.22135578343618e-05,0.0,ppo__no_risk_aware_shaping,agent_ablation,adverse_stress,22202,2,ablation,no_risk_aware_shaping
