controller,scenario_name,interactive_week,cumulative_profit_mean,cumulative_profit_ci_lower,cumulative_profit_ci_upper
a2c,class_imbalance_shift,14,84360.80191935852,79731.39000644836,90223.14146672003
a2c,class_imbalance_shift,15,96704.70334351265,92142.8057547583,101179.32106772347
a2c,class_imbalance_shift,16,110913.2911050527,104702.94936364082,117315.59972548104
a2c,class_imbalance_shift,17,124371.90825868194,118365.35163695636,129873.79740098413
a2c,class_imbalance_shift,18,136368.7803354639,129636.0001141237,142370.97521861948
a2c,class_imbalance_shift,19,148598.5570646668,140727.44063108476,156393.44239792242
a2c,class_imbalance_shift,20,163972.17568028843,156184.4885071314,171964.64169439583
a2c,class_imbalance_shift,21,178759.40203172978,171304.4806542436,186980.65203674312
a2c,class_imbalance_shift,22,188634.06404375238,180894.81964916093,195544.32081125837
a2c,class_imbalance_shift,23,198232.7711086405,188984.5830972551,206803.25942225274
a2c,class_imbalance_shift,24,208557.29628656947,198792.4408878298,216546.48666570848
a2c,class_imbalance_shift,25,333058.28924760746,309723.47014544,358779.2714667375
a2c,drift,0,0.0,0.0,0.0
a2c,drift,1,0.0,0.0,0.0
a2c,drift,2,0.0,0.0,0.0
a2c,drift,3,0.0,0.0,0.0
a2c,drift,4,412.8724366057374,-300.5016128397123,1061.2532308807629
a2c,drift,5,1044.601119392699,-348.5780869582003,2465.8678680590433
a2c,drift,6,4408.029498651999,1717.7102733454558,7112.189672492221
a2c,drift,7,7439.592364736926,4980.543181234933,9788.37489662348
a2c,drift,8,13523.263017583222,11742.955524151996,16012.344256958751
a2c,drift,9,22024.83876027063,19646.575253321607,25129.005486014612
a2c,drift,10,35041.413646508285,32256.867771860252,37988.675571095075
a2c,drift,11,46987.70853758868,43554.448465413996,50795.895954281936
a2c,drift,12,60922.20717676017,56229.633664837864,65856.86866725032
a2c,drift,13,74727.39351001111,70456.38208613277,80243.25741791085
a2c,drift,14,91012.48072254688,86104.29426581376,96094.06233627434
a2c,drift,15,106291.70309116464,99749.26884574024,113344.08494611936
a2c,drift,16,121991.10095330216,115017.26949475089,129208.95468169532
a2c,drift,17,133733.26520978237,124544.80666467165,141878.03480428623
a2c,drift,18,145676.71909208302,136718.5267455083,153188.99467417333
a2c,drift,19,158936.8515708921,148506.34259966874,167458.36912807846
a2c,drift,20,170266.31036607662,159427.19668572536,180866.08604056019
a2c,drift,21,183753.95788601055,173185.3079368238,195565.1435330752
a2c,drift,22,195556.73327935554,184752.5288398883,205814.16910301434
a2c,drift,23,205664.53764906139,193086.61877557824,215737.28947161685
a2c,drift,24,220451.75757723383,211387.5122493429,227860.7821153817
a2c,drift,25,333458.4825667813,312259.11685012386,351646.0484051301
a2c,noise,0,0.0,0.0,0.0
a2c,noise,1,0.0,0.0,0.0
a2c,noise,2,0.0,0.0,0.0
a2c,noise,3,0.0,0.0,0.0
a2c,noise,4,-18.857587355146677,-875.1606666564132,651.368155334309
a2c,noise,5,481.6585035724666,-1305.7773933022174,2136.4287346377037
a2c,noise,6,3452.0623581701198,1702.5433113372142,5210.152376195292
a2c,noise,7,7374.171774154231,5044.859729108832,10044.62990328544
a2c,noise,8,14298.92634234308,10896.896727748132,17713.550633066527
a2c,noise,9,22333.33424884287,16711.994745068354,27244.161603496024
a2c,noise,10,32667.66132463272,26729.734584428075,37386.8787596415
a2c,noise,11,48198.145030056425,41298.3552960246,54035.94302378648
a2c,noise,12,62905.59108977249,55254.6200694992,69658.2681230958
a2c,noise,13,79404.96445656999,70476.54921614731,86717.5133966277
a2c,noise,14,91940.61276374267,83969.01366279401,99314.97252291087
a2c,noise,15,106260.32405266892,98114.17279079372,114057.42299207345
