approval_rate_current,approval_rate_new,approval_rate_repeat,expected_default_rate_current,realized_profit,realized_npv,rolling_realized_default_rate,rolling_profit_volatility,projected_capital_usage_ratio,outstanding_ratio,repeat_share_current,expected_profit_current,expected_npv_current,applications_current,accepted_current,accepted_new_current,accepted_repeat_current,realized_default_count,realized_paid_count,realized_recovered_count,threshold_new,threshold_repeat,scenario_name,interactive_week,absolute_week,origin_interactive,reward,profit_term,npv_term,risk_shaping_term,default_rate_penalty,approval_rate_penalty,capital_usage_penalty,volatility_penalty,terminal_profit,terminal_npv,controller,seed,run_id,cumulative_reward,cumulative_profit,cumulative_npv,controller_type,experiment_group,ablation_name
0.3433734939759036,0.10655737704918032,1.0,0.11187725967037827,2828.1427717144147,2686.106084991144,0.1035825842320543,4960.403571924249,0.4116498760004171,0.37609077515998435,0.26506024096385544,3007.751600970819,2935.8680223479473,166,57,13,44,8,81,0,75.0,40.0,base_market,16,24,True,3342.5005768255446,2828.1427717144147,671.526521247786,-3.9157040884632393,-0.0,-153.25301204819274,-0.0,-0.0,0.0,0.0,profit_oriented,73001,1,30.69409642311848,2529.3847191702134,1993.6715456734198,baseline,main,
0.5345911949685535,0.3113207547169811,0.9811320754716981,0.127297265792305,4932.416881874757,4751.567777308619,0.11283769693544285,2192.5880920590903,0.43208399677437614,0.37371276187612645,0.3333333333333333,3959.276861115626,3860.5024962292305,159,85,33,52,10,73,4,70.0,50.0,base_market,17,25,True,5886.671031962073,4932.416881874757,1187.8919443271548,-4.455404302730674,-0.0,-229.18238993710693,-0.0,-0.0,0.0,0.0,profit_oriented,73001,1,5917.365128385192,7461.80160104497,6745.239322982039,baseline,main,
0.3463687150837989,0.11363636363636363,1.0,0.1209921135675864,11094.923426475565,10847.615939761188,0.10770120268256929,3768.9429243564446,0.39480764574735533,0.35384215436295957,0.26256983240223464,2465.618275848848,2405.511666380462,179,62,15,47,8,75,4,75.0,45.0,base_market,18,26,True,13655.330117608595,11094.923426475565,2711.903984940297,-4.234723974865524,-0.0,-147.26256983240216,-0.0,-0.0,0.0,0.0,profit_oriented,73001,1,19572.69524599379,18556.725027520537,17592.85526274323,baseline,main,
0.3224043715846995,0.015873015873015872,1.0,0.11132961644182306,7311.212735015796,7103.946460255586,0.10017007401742001,3070.1910714187957,0.3818372707074173,0.34153375826511345,0.3114754098360656,2648.9891394434776,2587.8040184688543,183,59,2,57,8,65,4,85.0,45.0,base_market,19,27,True,8888.111556673628,7311.212735015796,1775.9866150638966,-3.896536575463807,-0.0,-195.19125683060102,-0.0,-0.0,0.0,0.0,profit_oriented,73001,1,28460.806802667415,25867.937762536334,24696.801722998815,baseline,main,
0.5093167701863354,0.3416666666666667,1.0,0.1403219282227638,-7102.039833492104,-7030.833348142596,0.11536939678177278,6808.317950961195,0.4017465535891935,0.34874196407132113,0.2546583850931677,2651.3773214282073,2580.0692139974512,161,82,41,41,11,61,1,65.0,45.0,base_market,20,28,True,-9043.292978388221,-7102.039833492104,-1757.708337035649,-4.911267487796732,-0.0,-178.63354037267075,-0.0,-0.0,0.0,0.0,profit_oriented,73001,1,19417.513824279195,18765.89792904423,17665.968374856217,baseline,main,
0.5098039215686274,0.33035714285714285,1.0,0.13918719224134363,4841.228019055516,4719.925184235916,0.10936103732513747,6805.507722740278,0.3925568565750423,0.3448889921678747,0.2679738562091503,2444.5403644272224,2375.341761007119,153,78,37,41,7,69,1,65.0,45.0,base_market,21,29,True,5836.729920248793,4841.228019055516,1179.981296058979,-4.871551728447026,-0.0,-179.60784313725486,-0.0,-0.0,0.0,0.0,profit_oriented,73001,1,25254.243744527987,23607.125948099747,22385.893559092132,baseline,main,
0.5234899328859061,0.3584905660377358,0.9302325581395349,0.14063914484719925,7674.947510047218,7534.148568785647,0.10107841393095221,6036.379011821207,0.4055517468645755,0.35207270213217023,0.28859060402684567,2031.1670489411133,1973.7698519910232,149,78,38,40,4,63,1,65.0,55.0,base_market,22,30,True,9346.582416402165,7674.947510047218,1883.5371421964117,-4.922370069651973,-0.0,-206.97986577181214,-0.0,-0.0,0.0,0.0,profit_oriented,73001,1,34600.826160930155,31282.073458146966,29920.04212787778,baseline,main,
0.44508670520231214,0.21311475409836064,1.0,0.1287389989021538,3701.2270716668254,3549.938592484924,0.10327340204143327,5605.97672248666,0.4037997683290066,0.35337675269128777,0.2947976878612717,3345.194232481737,3254.612445588892,173,77,26,51,8,61,2,70.0,35.0,base_market,23,31,True,4534.032444421857,3701.2270716668254,887.484648121231,-4.505864961575382,-0.0,-50.173410404624306,-0.0,-0.0,0.0,0.0,profit_oriented,73001,1,39134.85860535201,34983.300529813794,33469.980720362706,baseline,main,
0.43333333333333335,0.10638297872340426,0.9821428571428571,0.11659448011480389,15.207965408055088,-50.86348416049137,0.09560216916472095,2746.2342254633045,0.3921482542338629,0.34783543510618087,0.37333333333333335,2867.0404607848714,2793.481406541846,150,65,10,55,9,64,2,75.0,50.0,base_market,24,32,True,-28.25537910275262,15.207965408055088,-12.715871040122842,-4.0808068040181364,-0.0,-26.66666666666673,-0.0,-0.0,0.0,0.0,profit_oriented,73001,1,39106.60322624926,34998.508495221846,33419.11723620221,baseline,main,
0.45222929936305734,0.23148148148148148,0.9387755102040817,0.12356309293591004,46073.95491417125,45117.49839660813,0.08780026957177657,2850.5872853165024,0.3977727014688635,0.3502864886647318,0.31210191082802546,2915.402270284117,2844.519750748127,157,71,25,46,69,529,24,70.0,55.0,base_market,25,33,True,57284.54620634441,5847.750574268571,1432.8933618171234,-4.324708252756851,-0.0,-64.4585987261147,-0.0,-0.0,40226.20433990268,39385.924949339635,profit_oriented,73001,1,96391.14943259367,81072.4634093931,78536.61563281034,baseline,main,
