controller,scenario_name,interactive_week,cumulative_reward_mean,cumulative_reward_ci_lower,cumulative_reward_ci_upper
ppo,split_policy_dynamics,15,2810.8252473796833,-12358.503887293493,15560.708593958549
ppo,split_policy_dynamics,16,8289.083473870185,-9385.150871230759,21744.102058163728
ppo,split_policy_dynamics,17,14221.510129726279,-2978.028228475381,27022.75225859407
ppo,split_policy_dynamics,18,22158.835149221497,339.91137881360663,37956.381757966024
ppo,split_policy_dynamics,19,24844.089577915118,6928.9972072095625,38071.170061516124
ppo,split_policy_dynamics,20,30715.212550555196,8549.516438288154,46508.914681502654
ppo,split_policy_dynamics,21,32552.213474085675,12636.480613353311,47155.219869087014
ppo,split_policy_dynamics,22,33111.6973747283,15912.935117113238,48017.72083638067
ppo,split_policy_dynamics,23,36265.63550433699,20011.322373451185,51282.241286989956
ppo,split_policy_dynamics,24,38746.75973904336,22810.93506292869,53926.93861339495
ppo,split_policy_dynamics,25,76223.12413844303,48661.01889813467,96659.89962345723
profit_oriented,adverse_stress,0,-143.2376012935594,-227.5098809112584,-72.26672592096385
profit_oriented,adverse_stress,1,-264.36328007883475,-346.5371049875994,-206.31681841323115
profit_oriented,adverse_stress,2,-409.23205397852877,-494.4270014317628,-329.1878068643709
profit_oriented,adverse_stress,3,-585.0792807561613,-689.0565152423068,-499.23328676191693
profit_oriented,adverse_stress,4,-742.5178082919116,-2101.9277892187292,285.4392935341512
profit_oriented,adverse_stress,5,-1407.608319501749,-3036.0034626322313,320.427656533749
profit_oriented,adverse_stress,6,-2926.136222776446,-5934.300061771858,344.57550428540424
profit_oriented,adverse_stress,7,-6227.278635909694,-9569.94421355779,-2119.108976716083
profit_oriented,adverse_stress,8,-6350.706202763756,-9942.984514576801,-3507.552260365215
profit_oriented,adverse_stress,9,-4970.857560875772,-11000.387007522913,-620.106298193389
profit_oriented,adverse_stress,10,-9015.677821743728,-15114.311552873549,-3685.6943243180854
profit_oriented,adverse_stress,11,-5486.159727906025,-14340.93929277513,1300.5862327978766
profit_oriented,adverse_stress,12,-2956.18804648699,-12707.635189677798,4994.707414574103
profit_oriented,adverse_stress,13,1828.1520145743914,-7911.741899365422,9812.702845683258
profit_oriented,adverse_stress,14,-1367.5519674458635,-10059.64581222344,5627.614091746114
profit_oriented,adverse_stress,15,5130.36010430368,-3319.2389489144516,13262.814125431663
profit_oriented,adverse_stress,16,9992.037193533928,-749.4714328375885,19213.226364502887
profit_oriented,adverse_stress,17,14995.906829833015,2966.4772981917013,24748.4362688383
profit_oriented,adverse_stress,18,15800.809148794846,1533.6659766872633,26919.94189536137
profit_oriented,adverse_stress,19,20221.801044892334,6185.476978054232,32783.38830243795
profit_oriented,adverse_stress,20,19384.986767584436,5138.579253159163,31457.662777231515
profit_oriented,adverse_stress,21,18480.763135137327,6410.637513466731,31272.596150733927
profit_oriented,adverse_stress,22,18692.227031287952,6901.582006994006,30459.687485647613
profit_oriented,adverse_stress,23,20843.380245668468,10850.576492781209,31635.560414847736
profit_oriented,adverse_stress,24,18864.38328584751,8189.725622272912,29444.796199623503
profit_oriented,adverse_stress,25,25150.73518500656,13791.460733430653,36716.99002654194
profit_oriented,base_market,0,-92.96826615053105,-120.93707932831882,-66.61622062056207
profit_oriented,base_market,1,-197.10869690434,-263.7893293834713,-141.51371140134611
profit_oriented,base_market,2,-331.3624336357511,-395.05953426377874,-277.7311350273887
profit_oriented,base_market,3,-498.01827075310365,-602.8543579637503,-409.81743681778863
profit_oriented,base_market,4,-569.4703069702937,-1661.9270696696142,350.3808159231203
profit_oriented,base_market,5,-1681.3005388529598,-3149.3427801028565,277.03103860955804
profit_oriented,base_market,6,-3323.7563638108845,-7069.418527978889,414.2437202977547
profit_oriented,base_market,7,-5190.774441701362,-12226.439489658023,385.315880674312
profit_oriented,base_market,8,-9481.223747183441,-16916.231782577284,-2784.328078566018
profit_oriented,base_market,9,-10070.133580711175,-18308.275578751105,-1963.1806702910828
profit_oriented,base_market,10,-7872.64340804642,-16706.40802714326,1869.9713139005635
profit_oriented,base_market,11,-3823.408466457462,-12182.642640428494,6468.976336858125
profit_oriented,base_market,12,486.44844596045823,-6495.726225201987,8992.89862494497
profit_oriented,base_market,13,130.39082907980932,-10853.63459456678,11720.310699265885
profit_oriented,base_market,14,7700.241843944116,-1551.4617351406348,19297.078021430836
profit_oriented,base_market,15,13764.147805737057,5574.596702000237,25075.920640934557
profit_oriented,base_market,16,24247.91255468391,15943.160925191878,35545.71610298274
profit_oriented,base_market,17,28012.783002000073,18049.935383133234,37784.50310432234
profit_oriented,base_market,18,33437.03309343961,22691.308062807337,43468.01313637395
profit_oriented,base_market,19,43411.33194227663,31037.898170702818,55459.103507322805
profit_oriented,base_market,20,40145.31162133364,29211.368344914237,53177.546137609184
profit_oriented,base_market,21,46492.08950410969,33273.396859173175,64038.06514316586
profit_oriented,base_market,22,47017.92499593915,29430.587107975673,63334.4435001684
profit_oriented,base_market,23,53478.50903260505,37904.948952384046,68527.47333920491
