agent_name,seed,episode,cumulative_reward,scenario_name,expected_profit,default_rate,approval_rate,log_type,metadata
dqn,11,validation,850222.0271437829,base_market,704531.818779663,0.06367411508799684,0.8362824541094758,validation,
dqn,11,0,502739.42067103786,drift,,,,,{'total_steps': 26}
dqn,11,1,480642.92530415196,adverse_stress,,,,,{'total_steps': 52}
dqn,11,2,575191.3819658925,class_imbalance_shift,,,,,{'total_steps': 78}
dqn,11,3,564817.3646519884,noise,,,,,{'total_steps': 104}
dqn,11,4,661201.9378250247,split_policy_dynamics,,,,,{'total_steps': 130}
dqn,11,5,702657.0612382021,base_market,,,,,{'total_steps': 156}
dqn,11,6,671156.2849679304,drift,,,,,{'total_steps': 182}
dqn,11,7,550214.3583155402,adverse_stress,,,,,{'total_steps': 208}
dqn,11,8,773447.6434357946,class_imbalance_shift,,,,,{'total_steps': 234}
dqn,11,9,802264.2945034958,noise,,,,,{'total_steps': 260}
dqn,11,10,768955.444432477,split_policy_dynamics,,,,,{'total_steps': 286}
dqn,11,11,823190.30621957,base_market,,,,,{'total_steps': 312}
double_dqn,11,validation,766713.8519771253,base_market,631468.8712225778,0.06053910737958462,0.7484703158591037,validation,
double_dqn,11,0,498599.21319541807,drift,,,,,{'total_steps': 26}
double_dqn,11,1,495249.83975266654,adverse_stress,,,,,{'total_steps': 52}
double_dqn,11,2,541238.9009029854,class_imbalance_shift,,,,,{'total_steps': 78}
double_dqn,11,3,566790.2329095607,noise,,,,,{'total_steps': 104}
double_dqn,11,4,614568.280060218,split_policy_dynamics,,,,,{'total_steps': 130}
double_dqn,11,5,642247.1216050595,base_market,,,,,{'total_steps': 156}
double_dqn,11,6,622456.1117260596,drift,,,,,{'total_steps': 182}
double_dqn,11,7,525372.9656480835,adverse_stress,,,,,{'total_steps': 208}
double_dqn,11,8,720933.378020755,class_imbalance_shift,,,,,{'total_steps': 234}
double_dqn,11,9,764261.6186360279,noise,,,,,{'total_steps': 260}
double_dqn,11,10,719054.2930017429,split_policy_dynamics,,,,,{'total_steps': 286}
double_dqn,11,11,735925.9666997395,base_market,,,,,{'total_steps': 312}
a3c,11,validation,415279.1570138282,base_market,341572.0623239407,0.0636,0.4134281461881925,validation,
a3c,11,0,410690.29109094647,drift,,,,,{'loss': 0.6902594566345215}
a3c,11,1,396684.90197973466,adverse_stress,,,,,{'loss': 0.6443403959274292}
a3c,11,2,446197.18960004346,class_imbalance_shift,,,,,{'loss': 0.6916064023971558}
a3c,11,3,475087.15045017604,noise,,,,,{'loss': 0.6958780288696289}
a3c,11,4,506474.81041812495,split_policy_dynamics,,,,,{'loss': 0.6800600290298462}
a3c,11,5,410136.6602682127,base_market,,,,,{'loss': 0.6610130071640015}
a3c,11,6,562571.7296881083,drift,,,,,{'loss': 0.6327834129333496}
a3c,11,7,444712.1262002717,adverse_stress,,,,,{'loss': 0.691510796546936}
